Rua 06,Centro,Guaira / SP,14790-001,,
Praça Airton Cavenague,Centro,Guaira / SP,14790-003,,
Rua 04,Centro,Guaira / SP,14790-005,,
Prolongamento Eurico Henrique dos Santos,Centro,Guaira / SP,14790-007,,
Rua 02,Centro,Guaira / SP,14790-009,,
Rua 2,Centro,Guaira / SP,14790-011,,
Rua 4,Centro,Guaira / SP,14790-013,,
Rua 6,Centro,Guaira / SP,14790-015,,
Avenida Fabrício da Silva de Faria,Centro,Guaira / SP,14790-017,,
Rua 8,Centro,Guaira / SP,14790-019,,
Praça São Sebastião,Centro,Guaira / SP,14790-021,,
Avenida Acácia Guairense,Centro,Guaira / SP,14790-023,,
Rua 10,Centro,Guaira / SP,14790-025,,
Travessa Hermes de Oliveira Silva,Centro,Guaira / SP,14790-027,,
Rua 12,Centro,Guaira / SP,14790-029,,
Rua 14,Centro,Guaira / SP,14790-031,,
Rua 16,Centro,Guaira / SP,14790-033,,
Rua 18,Centro,Guaira / SP,14790-035,,
Rua 20,Centro,Guaira / SP,14790-037,,
Rua 22,Centro,Guaira / SP,14790-039,,
Rua 24,Centro,Guaira / SP,14790-041,,
Rua 26,Centro,Guaira / SP,14790-043,,
Rua 28,Centro,Guaira / SP,14790-045,,
Avenida 23,Centro,Guaira / SP,14790-047,,
Avenida 21,Centro,Guaira / SP,14790-049,,
Avenida 19,Centro,Guaira / SP,14790-051,,
Avenida 17,Centro,Guaira / SP,14790-053,,
Travessa Alberto Moreti,Centro,Guaira / SP,14790-055,,
Avenida 15,Centro,Guaira / SP,14790-057,,
Avenida 13,Centro,Guaira / SP,14790-059,,
Travessa José Pedro de Morais,Centro,Guaira / SP,14790-061,,
Avenida 11,Centro,Guaira / SP,14790-063,,
Praça da Caixa D'Água Vanessa Volpim Silverio,Centro,Guaira / SP,14790-065,,
Avenida 9,Centro,Guaira / SP,14790-067,,
Travessa Helio Manhas Ruiz,Centro,Guaira / SP,14790-069,,
Avenida 7,Centro,Guaira / SP,14790-071,,
Avenida 5,Centro,Guaira / SP,14790-073,,
Avenida 3,Centro,Guaira / SP,14790-075,,
Avenida 1,Centro,Guaira / SP,14790-077,,
Avenida Maria Aparecida Galbiati Raggozoni,Centro,Guaira / SP,14790-079,,
Avenida Sebastião Dias de Freitas,Centro,Guaira / SP,14790-081,,
Rua Alexandre Muraishi,Centro,Guaira / SP,14790-083,,
Rua Alexandre Muraishi,Jardim Lígia 2,Guaira / SP,14790-090,,
Rua 20,Jardim Lígia 2,Guaira / SP,14790-092,,
Travessa Ali Kadri,Jardim Lígia 2,Guaira / SP,14790-094,,
Avenida 5A,Jardim Lígia 2,Guaira / SP,14790-096,,
Rua 10,Desmembramento Chácara Delfim,Guaira / SP,14790-130,,
Rua 8,Loteamento São José,Guaira / SP,14790-140,,
Rua 6,Loteamento São José,Guaira / SP,14790-142,,
Rua 4,Loteamento São José,Guaira / SP,14790-144,,
Avenida 1A,Loteamento São José,Guaira / SP,14790-146,,
Avenida 3A,Loteamento São José,Guaira / SP,14790-148,,
Rua 4,Recreio São Bernardo,Guaira / SP,14790-150,,
Rua 2,Recreio São Bernardo,Guaira / SP,14790-152,,
Rua 02,Recreio São Bernardo,Guaira / SP,14790-154,,
Avenida 1A,Recreio São Bernardo,Guaira / SP,14790-156,,
Avenida 3A,Vivendas do Bom Jardim,Guaira / SP,14790-160,,
Avenida 5A,Vivendas do Bom Jardim,Guaira / SP,14790-162,,
Avenida 7A,Vivendas do Bom Jardim,Guaira / SP,14790-164,,
Avenida 9A,Vivendas do Bom Jardim,Guaira / SP,14790-166,,
Avenida 11A,Vivendas do Bom Jardim,Guaira / SP,14790-168,,
Avenida 13A,Vivendas do Bom Jardim,Guaira / SP,14790-170,,
Avenida 15A,Vivendas do Bom Jardim,Guaira / SP,14790-172,,
Rua 8,Vivendas do Bom Jardim,Guaira / SP,14790-174,,
Rua 6,Vivendas do Bom Jardim,Guaira / SP,14790-176,,
Rua 4,Vivendas do Bom Jardim,Guaira / SP,14790-178,,
Rua 2,Vivendas do Bom Jardim,Guaira / SP,14790-180,,
Avenida Leozino Dias Campos,Vivendas do Bom Jardim,Guaira / SP,14790-182,,
Avenida 15A,Distrito Industrial I,Guaira / SP,14790-190,,
Avenida 17A,Distrito Industrial I,Guaira / SP,14790-192,,
Avenida 19A,Distrito Industrial I,Guaira / SP,14790-194,,
Avenida Professora Vera Lucia Vitali,Distrito Industrial I,Guaira / SP,14790-196,,
Rua 6,Distrito Industrial I,Guaira / SP,14790-198,,
Rua Salomão Joaquim Filho,Distrito Industrial I,Guaira / SP,14790-200,,
Rua 2,Distrito Industrial I,Guaira / SP,14790-202,,
Rua 2A,Distrito Industrial I,Guaira / SP,14790-204,,
Avenida Leozino Dias Campos,Distrito Industrial I,Guaira / SP,14790-206,,
Anel Viário Julio Robim,Industrial,Guaira / SP,14790-250,,
Rua Joaquim Alves Rodrigues Filho,Industrial,Guaira / SP,14790-252,,
Estrada Municipal Antenor C Nogueira,Industrial,Guaira / SP,14790-254,,
Avenida 17A,Jardim São Francisco I,Guaira / SP,14790-260,,
Rua 016,Jardim São Francisco I,Guaira / SP,14790-262,,
Avenida 15E,Jardim São Francisco I,Guaira / SP,14790-264,,
Avenida 15D,Jardim São Francisco I,Guaira / SP,14790-266,,
Avenida 15C,Jardim São Francisco I,Guaira / SP,14790-268,,
Avenida 15B,Jardim São Francisco I,Guaira / SP,14790-270,,
Avenida 15A,Jardim São Francisco I,Guaira / SP,14790-272,,
